,Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
34553,43467,10826,2,1489410000.0,,
34554,43468,10833,2,1489410000.0,,
34555,43469,10834,2,1489410000.0,,
34556,43470,10831,2,1489410000.0,,
34557,43471,10836,16,1489410000.0,,
34558,43472,10819,2,1489410000.0,,
34559,43473,10836,16,1489410000.0,,
34560,43474,10838,1,1489410000.0,,
34561,43475,10837,2,1489410000.0,,
34562,43477,10803,2,1489410000.0,,
34563,43478,10803,5,1489410000.0,7037.0,
34564,43479,10838,2,1489410000.0,,
34565,43480,266,5,1489410000.0,12954.0,
34566,43481,10830,2,1489410000.0,,
34567,43482,10513,16,1489410000.0,,
34568,43483,5545,5,1489496400.0,15580.0,
34569,43484,7155,2,1489496400.0,,
34570,43485,7140,2,1489496400.0,,
34571,43486,7140,5,1489496400.0,9722.0,
34572,43487,10730,9,1489496400.0,,
34573,43488,7658,2,1489496400.0,,
34574,43489,1786,2,1489496400.0,,
34575,43490,1006,2,1489496400.0,,
34576,43491,818,2,1489496400.0,,
34577,43492,818,5,1489496400.0,9722.0,
34578,43493,10842,2,1489496400.0,,
34579,43494,10840,2,1489496400.0,,
34580,43495,6122,2,1489496400.0,,
34581,43496,6119,2,1489496400.0,,
34582,43497,6113,2,1489496400.0,,
34583,43498,6109,2,1489496400.0,,
34584,43499,6103,2,1489496400.0,,
34585,43500,6100,2,1489496400.0,,
34586,43501,6097,2,1489496400.0,,
34587,43502,6096,2,1489496400.0,,
34588,43503,6095,2,1489496400.0,,
34589,43504,6094,2,1489496400.0,,
34590,43505,6093,2,1489496400.0,,
34591,43506,6081,2,1489496400.0,,
34592,43507,6080,2,1489496400.0,,
34593,43508,6084,2,1489496400.0,,
34594,43509,6079,2,1489496400.0,,
34595,43510,6077,2,1489496400.0,,
34596,43511,6076,2,1489496400.0,,
34597,43512,6075,2,1489496400.0,,
34598,43513,6074,2,1489496400.0,,
34599,43514,6072,2,1489496400.0,,
34600,43515,6066,2,1489496400.0,,
34601,43516,6063,2,1489496400.0,,
34602,43517,6061,2,1489496400.0,,
34603,43518,6059,2,1489496400.0,,
34604,43519,6056,2,1489496400.0,,
34605,43520,6054,2,1489496400.0,,
34606,43521,6053,2,1489496400.0,,
34607,43522,6052,2,1489496400.0,,
34608,43523,6051,2,1489496400.0,,
34609,43524,6050,2,1489496400.0,,
34610,43525,6053,5,1489496400.0,1652.0,
34611,43526,6048,2,1489496400.0,,
34612,43527,6047,2,1489496400.0,,
34613,43528,6046,2,1489496400.0,,
34614,43529,6044,2,1489496400.0,,
34615,43530,6041,2,1489496400.0,,
34616,43531,6038,2,1489496400.0,,
34617,43532,6037,2,1489496400.0,,
34618,43533,6030,2,1489496400.0,,
34619,43534,10805,2,1489496400.0,,
34620,43535,10807,2,1489496400.0,,
34621,43536,10833,2,1489496400.0,,
34622,43537,10843,2,1489496400.0,,
34623,43538,10836,2,1489496400.0,,
34624,43539,10838,2,1489496400.0,,
34625,43540,10845,2,1489410000.0,,
34626,43541,10841,2,1489496400.0,,
34627,43542,10844,2,1489496400.0,,
34628,43543,10843,3,1489496400.0,,
34629,43544,562,2,1489496400.0,,
34630,43545,1554,2,1489496400.0,,
34631,43546,10829,16,1489496400.0,,
34632,43547,10820,16,1489496400.0,,
34633,43548,10850,2,1489410000.0,,
34634,43549,10851,2,1489410000.0,,
34635,43550,10851,2,1489496400.0,,
34636,43551,10822,2,1489496400.0,,
34637,43552,10836,2,1489496400.0,,
34638,43553,10837,2,1489496400.0,,
34639,43554,10845,16,1489496400.0,,
34640,43555,10845,2,1489496400.0,,
34641,43556,10850,2,1489496400.0,,
34642,43557,10851,2,1489496400.0,,
34643,43558,10847,2,1489496400.0,,
34644,43559,10844,2,1489496400.0,,
34645,43560,10841,2,1489496400.0,,
34646,43561,10846,2,1489496400.0,,
34647,43562,10843,2,1489496400.0,,
34648,43563,10842,2,1489496400.0,,
34649,43564,10840,2,1489496400.0,,
34650,43565,10839,2,1489496400.0,,
34651,43566,10836,2,1489496400.0,,
34652,43567,10838,2,1489496400.0,,
34653,43568,10837,2,1489496400.0,,
34654,43570,10835,2,1489496400.0,,
34655,43571,10834,2,1489496400.0,,
34656,43572,10845,2,1489496400.0,,
34657,43573,2038,2,1489496400.0,,
34658,43574,10456,5,1489496400.0,15585.0,
34659,43575,10850,2,1489496400.0,,
34660,43576,10838,2,1489582800.0,,
34661,43577,10852,2,1489582800.0,,
34662,43578,10847,2,1489582800.0,,
34663,43579,10846,2,1489582800.0,,
34664,43580,4793,2,1489582800.0,,
34665,43581,4792,2,1489582800.0,,
34666,43582,4791,2,1489582800.0,,
34667,43583,4790,2,1489582800.0,,
34668,43584,4782,2,1489582800.0,,
34669,43585,4779,2,1489582800.0,,
34670,43586,4776,2,1489582800.0,,
34671,43587,4774,2,1489582800.0,,
34672,43588,4772,2,1489582800.0,,
34673,43589,4770,2,1489582800.0,,
34674,43590,4768,2,1489582800.0,,
34675,43591,4767,2,1489582800.0,,
34676,43592,4764,2,1489582800.0,,
34677,43593,4756,2,1489582800.0,,
34678,43594,4755,2,1489582800.0,,
34679,43595,4754,2,1489582800.0,,
34680,43596,4753,2,1489582800.0,,
34681,43597,4749,2,1489582800.0,,
34682,43598,4748,2,1489582800.0,,
34683,43599,4744,2,1489582800.0,,
34684,43600,4742,2,1489582800.0,,
34685,43601,4741,2,1489582800.0,,
34686,43602,4740,2,1489582800.0,,
34687,43603,4736,2,1489582800.0,,
34688,43604,4733,2,1489582800.0,,
34689,43605,4728,2,1489582800.0,,
34690,43606,4719,2,1489582800.0,,
34691,43607,4717,2,1489582800.0,,
34692,43608,4715,2,1489582800.0,,
34693,43609,4711,2,1489582800.0,,
34694,43610,4699,2,1489582800.0,,
